SA,영역,주요질문,답변
SA,보안,OWASP 관점에서 애플리케이션 레이어에서 최소로 해야 할 일은?,입력 검증(ORM 바인딩·스키마 검증)·출력 인코딩·접근 제어(RBAC)·민감 데이터 암호화·보안 헤더·로그 내 PII 마스킹 등 스펙의 레이어드 방어와 Top 10 매핑을 따른다.
SA,보안,TLS와 인증서는 어떻게 운영하는가?,가능하면 TLS 1.3·강한 암호 스위트이며 K8s에서는 cert-manager 등으로 인증서를 자동 발급·갱신하고 인그레스에 적용한다.
SA,보안,의존성과 이미지 무결성은?,Dependabot·Trivy·pip audit 등으로 취약 컴포넌트를 주기 스캔하고 이미지 서명·SBOM으로 공급망 무결성을 보강한다.
SA,테스트 전략,테스트 피라미드 비율과 실패 시 정책은?,단위 다수·통합 중간·E2E 소수를 기본으로 하고 실패 시 PR 머지 또는 배포 차단 등 스펙 표의 게이트에 맞춘다.
SA,테스트 전략,단위 테스트 작성 원칙은?,FIRST·AAA·외부(DB·API·LLM) 격리·한 테스트 한 동작을 지킨다.
SA,테스트 전략,E2E는 언제 돌리는가?,비용이 크므로 main 머지 후 또는 배포 전 등 스펙에 둔 시점에 실행하고 실패 시 배포를 막을 수 있다.
SA,ADR,ADR에 꼭 들어가야 하는 내용은?,배경·검토한 옵션·내린 결정·결과(파급)·상태(제안/수락/폐기/대체)와 날짜·결정자다.
SA,ADR,결정이 바뀌면 ADR은 어떻게 하나?,수락된 ADR 본문을 고치지 않고 새 ADR로 대체 관계를 명시해 이력을 보존한다.
SA,ADR,ADR 파일은 어디에 두나?,저장소의 `docs/adr/` 등 합의된 경로에 `ADR-번호-제목.md` 형식으로 둔다.
SA,인프라·CI/CD,CI 파이프라인의 일반적 순서는?,lint → test → build → 컨테이너 이미지 푸시 등으로 정하고 CD는 환경별 승인과 연동한다.
SA,인프라·CI/CD,Docker 이미지 보안 기본은?,멀티스테이지 빌드·런타임 non-root 사용자·최소 베이스 이미지를 권장한다.
SA,인프라·CI/CD,K8s 배포 시 환경 분리는?,dev/staging/prod 네임스페이스 등으로 나누고 RollingUpdate 등 무중단 전략을 문서화한다.
SA,데이터 거버넌스,데이터 민감도는 어떻게 나누나?,L1 공개부터 L4 PII까지 등급을 정하고 처리·보존·접근을 등급별로 다르게 한다.
SA,데이터 거버넌스,PII가 로그에 남지 않게 하려면?,필드·패턴 마스킹과 수집 단계 redaction을 적용하고 로그 보존은 ILM 등으로 제한한다.
SA,데이터 거버넌스,보존 기간이 지난 데이터는?,배치 삭제·아카이빙 정책을 SQL/운영 절차로 명시한다.
SA,API Gateway,게이트웨이의 역할은?,TLS 종료·토큰 검증·Rate limiting·라우팅·LB·요청 변환·서킷 브레이커 등 단일 진입점 책임이다.
SA,API Gateway,게이트웨이 제품은 어떻게 고르나?,Kong·nginx·AWS API Gateway·Traefik 등을 배포 형태·K8s 연동·OIDC·학습 비용으로 비교해 선택한다.
SA,API Gateway,라우팅 우선순위는 어떻게 정하나?,헬스·인증·관리·버전 API 순 등 스펙의 우선순위 표를 따르고 인증 예외 경로를 명시한다.
SA,Database,언제 비정규화해도 되나?,외부 API 스키마 유동성·집계 성능 등 명확한 이유가 있을 때이며 주석으로 이유를 남긴다.
SA,Database,PK 설계 권장은?,내부 조인용 BIGSERIAL과 외부 노출용 UUID 병행 등 스펙 표의 장단에 맞게 선택한다.
SA,Database,FK 삭제 정책은?,CASCADE·RESTRICT·SET NULL 등 데이터 의미에 맞게 고르고 논리 FK는 주석으로 문서화한다.
SA,Versions,버전 정보는 어디서 보나?,`versions.md`가 common 스펙의 단일 카탈로그이며 각 세부 스펙의 출처와 맞춘다.
SA,Versions,아직 버전이 정해지지 않았으면?,TBD로 두고 최소 버전은 `+`로 표기하는 규칙을 따른다.
SA,Versions,AI 스택 버전은 왜 따로 있나?,LangChain·임베딩·벡터 DB는 런타임·비용·호환에 민감해 별도 표로 관리한다.
SA,관측성,Trace와 Span의 관계는?,하나의 요청 Trace 아래에 DB·HTTP 등 작업 단위 Span이 트리로 달린다.
SA,관측성,OTel Collector의 역할은?,앱의 OTLP를 받아 traces·metrics·logs를 Jaeger·Prometheus·OpenSearch 등으로 라우팅한다.
