SA,영역,핵심단어,관련단어,설명,없을때 일어나는 일
SA,보안,OWASP,"TLS; WAF; RateLimit; JWT; RBAC; Injection; SSRF; SBOM; Cosign; 보안헤더; Secrets","인터넷→게이트웨이→애플리케이션→DB까지 레이어드 방어와 OWASP별 대응·전송·저장 암호화·취약 의존성·무결성·로깅을 정의한다.","기본 자격·약한 TLS·설정 오류로 유출·XSS·인젝션·내부망 스캔 성공; 감사·추적 불가; 취약 패키지 누적."
SA,테스트 전략,피라미드,"단위테스트; 통합테스트; E2E; FIRST; AAA; Mock; testcontainers; 커버리지; PR게이트","단위·통합·E2E 비율·실행 시점·실패 시 머지·배포 차단 기준과 FastAPI/Spring 예시를 둔다.","회귀 누락; 리팩터링 불가; 프로덕션 사고 후행 발견; 품질 기준 혼란."
SA,ADR,기록,"ADR; 배경; 옵션; 결정; 결과; 상태; 대체","아키텍처 결정의 맥락·검토 옵션·선택 이유·파급을 기록하는 마크다운 템플릿과 수명 주기 규칙이다.","왜 그 기술인지 소실; 동일 논쟁 반복; 온보딩·감사 비용 증가."
SA,인프라·CI/CD,파이프라인,"Docker; 멀티스테이지; non-root; GitHubActions; lint; build; 이미지태그; K8s; Namespace; RollingUpdate","CI에서 검증·빌드·이미지 푸시, CD에서 환경별 승인·배포, 컨테이너·클러스터 운영 패턴을 연결한다.","배포 파편화; 추적 불가 태그; 루트 컨테이너·비대 이미지; 환경 드리프트."
SA,데이터 거버넌스,민감도,"L1-L4; PII; 보존; 마스킹; 계보; ILM; 삭제배치","민감도 분류·PII 처리·보존·삭제·로그 마스킹·출처→분석 흐름 추적 기준을 둔다.","개인정보·규제 위반; 로그 유출; 불필요 장기 보관; 데이터 출처 불명."
SA,API Gateway,라우팅,"진입점; TLS종료; JWKS; RateLimit; 서킷브레이커; Kong; Traefik","클라이언트와 백엔드 사이 인증·남용 방지·라우팅·변환·복원력을 게이트웨이에 집중한다.","백엔드 직접 노출; 인증 중복·불일치; 트래픽 남용; 라우팅 혼선."
SA,Database,무결성,"정규화; 비정규화; PK; UUID; FK; 인덱스; JSONB; TTL; 마이그레이션","스키마·키·타입·참조 무결성·인덱스·만료 데이터 관리·Alembic/Flyway 등 변경 절차를 규정한다.","조인·풀스캔 비효율; 무결성 붕괴; ID 추측; 만료 데이터 누적; 마이그레이션 충돌."
SA,Versions,호환,"Python; Java; SpringBoot; LangChain; 임베딩; 벡터DB; Redis; TBD; 카탈로그","common 스펙 간 언어·프레임워크·AI 스택의 최소·권장 버전을 한곳에서 참조한다.","환경별 버전 불일치; 재현 빌드 실패; 보안 패치·호환 기준 혼란."
SA,관측성,OpenTelemetry,"Trace; Span; Metric; OTLP; Collector; OpenSearch; Jaeger; Prometheus","분산 추적·메트릭·구조화 로그를 OTel로 수집하고 백엔드에 라우팅하는 아키텍처와 계측 예시다.","장애 원인 불명; 지연 구간 미특정; 로그만으로 상관 분석 불가."
